Answer,Question,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Hint 6
20200429_161357_000,LSC22-109,I think it was the second time I visited the house with the stone shed / hovel.,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home.,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home. It was in the middle of  Ireland ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home. It was in the middle of  Ireland on the 29th April 2020.
20200429_162158_000,LSC22-109,I think it was the second time I visited the house with the stone shed / hovel.,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home.,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home. It was in the middle of  Ireland ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home. It was in the middle of  Ireland on the 29th April 2020.
20200429_162302_000,LSC22-109,I think it was the second time I visited the house with the stone shed / hovel.,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home.,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home. It was in the middle of  Ireland ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home. It was in the middle of  Ireland on the 29th April 2020.
20200429_162334_000,LSC22-109,I think it was the second time I visited the house with the stone shed / hovel.,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home.,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home. It was in the middle of  Ireland ,I think it was the second time I visited the house with the stone shed / hovel.  The shed was under green trees on a beautiful sunny day. It takes 2 hours to drive there and two hours to drive back home. It was in the middle of  Ireland on the 29th April 2020.
20190106_165732_000,LSC22-114,Greek wine on a Sunday.,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece in January 2019. 
20190106_165804_000,LSC22-114,Greek wine on a Sunday.,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece in January 2019. 
20190106_165836_000,LSC22-114,Greek wine on a Sunday.,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece in January 2019. 
20190106_165908_000,LSC22-114,Greek wine on a Sunday.,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece in January 2019. 
20190106_165940_000,LSC22-114,Greek wine on a Sunday.,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece in January 2019. 
20190106_170012_000,LSC22-114,Greek wine on a Sunday.,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. ,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece,Greek wine on a Sunday. I was in a Greek restaurant drinking a small bottle of wine and eating Greek food (chips and meat) with a salad. I was sitting at a white tiled table. It was in Thessaloniki in Greece in January 2019. 
